Episode Reward,frame,value
0.0,256,0.5135997533798218
0.0,512,-35.51318359375
0.0,768,1.3136978149414062
-1.0,1024,-5.201049327850342
-1.0,1280,-66.13945770263672
-2.0,1536,-9.079533576965332
-2.0,1792,-0.9958887100219727
-2.0,2048,1.162862777709961
-3.0,2304,-0.75782310962677
-3.0,2560,0.12091801315546036
-4.0,2816,-0.45086997747421265
-4.0,3072,-5.778315544128418
-5.0,3328,-0.668287992477417
-5.0,3584,-3.64109206199646
-6.0,3840,-1.0198031663894653
-6.0,4096,-3.234161376953125
-7.0,4352,-1.1012482643127441
-7.0,4608,-2.7310965061187744
-7.0,4864,-1.0227868556976318
-8.0,5120,-2.56076717376709
-8.0,5376,-1.1661396026611328
-9.0,5632,-2.436861753463745
-9.0,5888,-1.228354811668396
-10.0,6144,-2.392899513244629
-10.0,6400,-1.2716138362884521
-11.0,6656,-2.333662271499634
-11.0,6912,-3.657257318496704
-12.0,7168,-2.128490924835205
-12.0,7424,-3.5449399948120117
-12.0,7680,-2.179309368133545
-13.0,7936,-2.407785415649414
-13.0,8192,-1.4579153060913086
-14.0,8448,-2.3767008781433105
-14.0,8704,-1.4614932537078857
-15.0,8960,-2.3588550090789795
-15.0,9216,-1.4933223724365234
-16.0,9472,-1.0521608591079712
-16.0,9728,-1.67559814453125
-17.0,9984,-2.5724639892578125
-17.0,10240,-1.7291942834854126
-18.0,10496,-2.613711357116699
-18.0,10752,-1.7474360466003418
-18.0,11008,-1.5132923126220703
-19.0,11264,-1.699455738067627
-19.0,11520,-2.528332471847534
-20.0,11776,-1.6945438385009766
-20.0,12032,-2.46366286277771
0.0,12288,-1.685640573501587
0.0,12544,-1.9980639219284058
0.0,12800,-1.3501921892166138
0.0,13056,-0.8801137208938599
-1.0,13312,-1.348386287689209
-1.0,13568,-1.689534306526184
-2.0,13824,-2.4512619972229004
-2.0,14080,-1.6861257553100586
-2.0,14336,-1.564357876777649
-2.0,14592,-1.0341682434082031
-2.0,14848,-1.3276447057724
-2.0,15104,-0.8845419883728027
-3.0,15360,-0.8245033025741577
-3.0,15616,-1.0812568664550781
-4.0,15872,-1.6285426616668701
-4.0,16128,-1.5411125421524048
-5.0,16384,-1.569014310836792
-5.0,16640,-1.4478914737701416
-5.0,16896,-2.150923728942871
-6.0,17152,-1.4509527683258057
-6.0,17408,-1.7143526077270508
-7.0,17664,-2.407334804534912
-7.0,17920,-3.2721974849700928
-8.0,18176,-4.5623626708984375
-8.0,18432,-3.1880300045013428
-9.0,18688,-2.3019776344299316
-9.0,18944,-1.6313060522079468
-10.0,19200,-1.0974063873291016
-10.0,19456,-1.7305963039398193
-11.0,19712,-1.7462587356567383
-11.0,19968,-2.4524121284484863
-11.0,20224,-1.7610808610916138
-12.0,20480,-2.0952911376953125
-12.0,20736,-2.3699588775634766
-13.0,20992,-3.2318930625915527
-13.0,21248,-2.3512020111083984
-14.0,21504,-3.166753053665161
-14.0,21760,-2.3498194217681885
-15.0,22016,-3.1356232166290283
-15.0,22272,-2.3380775451660156
-16.0,22528,-3.119140148162842
-16.0,22784,-2.397204875946045
-16.0,23040,-2.717329502105713
-17.0,23296,-3.572512149810791
-17.0,23552,-2.7108750343322754
-18.0,23808,-2.898263931274414
-18.0,24064,-2.189408540725708
-19.0,24320,-2.8719024658203125
-19.0,24576,-2.1562042236328125
-20.0,24832,-2.2721734046936035
-20.0,25088,-1.697532296180725
0.0,25344,-2.2685060501098633
0.0,25600,-1.6984466314315796
0.0,25856,-2.255688428878784
0.0,26112,-1.8477401733398438
-1.0,26368,-2.4380767345428467
-1.0,26624,-1.8349828720092773
-2.0,26880,-2.4262924194335938
-2.0,27136,-2.504941940307617
-2.0,27392,-1.9012354612350464
-1.0,27648,-1.7203552722930908
-1.0,27904,-1.2837892770767212
-1.0,28160,-1.7413816452026367
-1.0,28416,-1.3261842727661133
-2.0,28672,-1.142480731010437
-2.0,28928,-1.4138450622558594
-2.0,29184,-1.0456244945526123
-3.0,29440,-1.4246872663497925
-3.0,29696,-1.0560730695724487
-4.0,29952,-1.4165186882019043
-4.0,30208,-1.8675457239151
-5.0,30464,-1.4321351051330566
-5.0,30720,-1.872206687927246
-6.0,30976,-2.0789737701416016
-6.0,31232,-1.6064784526824951
-7.0,31488,-2.054793119430542
-7.0,31744,-2.6266028881073
-7.0,32000,-2.0489420890808105
-8.0,32256,-2.6086764335632324
-8.0,32512,-2.0413317680358887
-9.0,32768,-2.5863256454467773
-9.0,33024,-2.0363478660583496
-10.0,33280,-1.7091176509857178
-10.0,33536,-1.8478466272354126
-11.0,33792,-1.4280247688293457
-11.0,34048,-1.8355820178985596
-11.0,34304,-1.4527376890182495
-11.0,34560,-1.8656545877456665
-11.0,34816,-1.4655044078826904
-11.0,35072,-1.8744016885757446
-12.0,35328,-1.5478202104568481
-12.0,35584,-1.9671440124511719
-13.0,35840,-2.174001693725586
-13.0,36096,-2.743340492248535
-13.0,36352,-2.168933629989624
-13.0,36608,-2.015148401260376
-13.0,36864,-2.539113759994507
-13.0,37120,-2.0102505683898926
-14.0,37376,-2.5305447578430176
-14.0,37632,-2.002668619155884
-15.0,37888,-2.512402057647705
-15.0,38144,-2.0186188220977783
-16.0,38400,-1.592646837234497
-16.0,38656,-1.446958303451538
-16.0,38912,-1.8695169687271118
-17.0,39168,-1.4697381258010864
-17.0,39424,-1.8676429986953735
-18.0,39680,-1.4742205142974854
-18.0,39936,-1.8611750602722168
-19.0,40192,-1.5252726078033447
-19.0,40448,-1.9151029586791992
0.0,40704,-1.5604133605957031
0.0,40960,-1.675760269165039
0.0,41216,-2.0950217247009277
0.0,41472,-1.6813406944274902
-1.0,41728,-1.4320895671844482
-1.0,41984,-1.6656330823898315
-1.0,42240,-2.075223922729492
-1.0,42496,-1.6581535339355469
-1.0,42752,-2.0822362899780273
-1.0,43008,-1.654247522354126
-1.0,43264,-2.077097177505493
-1.0,43520,-1.6591143608093262
-1.0,43776,-1.5456721782684326
-1.0,44032,-1.6551029682159424
-2.0,44288,-1.9878764152526855
-2.0,44544,-1.5857007503509521
-3.0,44800,-1.9838371276855469
-3.0,45056,-1.5762332677841187
